A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
39,1.286737909,2.429524527,0.956133102,1.477542241,4.786375676,3.382357404,2.519346925,good
79,2.1674624,1.72966774,1.292344082,2.343027022,0.313248004,0.90759004,1.78744711,bad
119,0.591987065,2.618652027,1.073478951,1.114681034,2.536374537,1.75475805,1.660639485,bad
159,0.008339314,0.258309041,0.589022384,2.216558601,2.347407105,0.439727813,4.797638853,good
199,3.976937188,1.876774175,0.103705872,1.482253754,0.416406564,1.765280919,2.718979289,bad
239,0.903390631,0.006481297,1.85797724,1.905665353,1.323631982,0.237555458,0.635232848,bad
279,0.560748733,0.157070531,1.695140995,0.454258111,1.54203353,0.351700673,1.822181262,bad
319,2.228778607,1.034194946,0.921878168,0.161100226,2.694175463,0.803583773,2.316583272,bad
359,2.252408848,2.923768893,0.622918038,0.191839018,2.615010091,1.274305092,3.976483633,bad
399,1.037014436,2.611286502,2.975672075,0.409859466,0.583967206,3.587746764,4.405949342,bad
439,1.353415925,0.095966961,2.329803018,2.519162172,3.172246292,0.438285708,0.009153027,bad
479,1.602586992,1.420063463,0.598390106,0.836843768,0.769142685,3.079575162,0.985013262,good
519,0.899434264,0.175009018,2.138931907,0.804955375,1.201174794,1.475026613,0.72650885,bad
559,2.118697904,0.441049723,0.884647265,1.046843714,1.654620545,1.783180434,1.916665389,good
599,0.539638857,0.371998948,0.739616231,3.301151511,1.53170941,0.67487519,2.011494167,good
639,3.663151385,0.881709121,0.771988178,1.730581468,0.475534881,1.006856055,3.675142735,good
679,0.711035314,3.377666855,1.825954976,2.683285947,2.70647602,1.076922522,0.536212238,good
719,1.265104584,0.330938457,0.586008292,1.727311454,0.371201965,3.324980144,0.369160911,good
759,2.365988943,0.40845916,1.889352773,0.317035839,2.321174952,0.201606158,2.966694832,good
799,1.334120096,3.22731063,1.231597544,1.438142252,0.559514528,1.964592957,3.480103771,bad
839,2.333227356,0.789809118,0.320618907,0.092722216,0.072852649,0.728017955,3.47105338,good
879,1.365953419,1.865934764,2.61515723,0.704463338,2.727113289,0.28381246,2.84060724,bad
919,2.651578571,0.378202438,2.49375469,2.35130877,0.27963485,0.82733629,1.724640045,bad
959,0.417864594,3.215078423,1.87922744,1.470473381,0.011738972,2.864335661,1.260253613,good
999,0.938877608,0.169641689,0.220232474,1.263677317,1.353255279,0.144245235,1.22898763,bad
1039,2.122771463,4.2298476,0.238536396,2.112481718,2.865717277,1.347609951,2.653468431,good
1079,1.175254612,2.023453658,0.608436062,2.111248983,1.579690415,1.604498657,2.068649561,good
1119,3.730617456,0.733581791,0.374005659,1.032236238,3.309976486,1.620151548,4.969911363,good
1159,0.494946241,1.53767335,0.202694735,1.305193953,1.376384378,1.4512799,0.825066953,bad
1199,1.030414366,0.383283703,0.315503512,3.765261047,0.70765035,1.176687564,1.632220274,bad
1239,0.571189234,1.670900685,1.162681144,2.191042685,3.082068149,0.676342374,0.270877363,bad
1279,2.139997149,4.762105051,2.830566284,0.964477839,0.337347784,3.123964702,1.466012486,good
1319,0.302594477,1.757761893,3.601486744,0.629714442,0.566145286,2.89283063,1.485660777,bad
1359,2.28004505,0.289802921,0.199214116,1.509619586,0.317117948,1.206850582,1.063990358,good
1399,3.0364109,1.309048372,1.056825832,3.633489347,1.658983287,3.917238143,0.096056144,bad
